subject,phase,trial,group,scr,condition,raw,half,quarter
9,renewal,11,control,0,CS-,0,2,6
9,renewal,12,control,0,CS-,0,2,6
10,renewal,1,control,0.766159252,CS+,0.587,1,5
10,renewal,2,control,0.667083203,CS+,0.445,1,5
10,renewal,3,control,0.494974747,CS+,0.245,1,5
10,renewal,4,control,0.554977477,CS+,0.308,1,5
10,renewal,5,control,0.701427117,CS+,0.492,2,6
10,renewal,6,control,0,CS+,0,2,6
10,renewal,7,control,0.526307895,CS+,0.277,2,6
10,renewal,8,control,0.549545267,CS+,0.302,2,6
10,renewal,9,control,0.8336666,CS+,0.695,2,6
10,renewal,10,control,0,CS+,0,2,6
10,renewal,11,control,0.82643814,CS+,0.683,2,6
10,renewal,12,control,0.544977064,CS+,0.297,2,6
10,renewal,1,control,0.771362431,CS-,0.595,1,5
10,renewal,2,control,0.860813569,CS-,0.741,1,5
10,renewal,3,control,0,CS-,0,1,5
10,renewal,4,control,0.727323862,CS-,0.529,1,5
10,renewal,5,control,0.570087713,CS-,0.325,2,6
10,renewal,6,control,0,CS-,0,2,6
10,renewal,7,control,0,CS-,0,2,6
10,renewal,8,control,0,CS-,0,2,6
10,renewal,9,control,0,CS-,0,2,6
10,renewal,10,control,0,CS-,0,2,6
10,renewal,11,control,0.690651866,CS-,0.477,2,6
10,renewal,12,control,0,CS-,0,2,6
12,renewal,1,control,0,CS+,0,1,5
12,renewal,2,control,0,CS+,0,1,5
12,renewal,3,control,0,CS+,0,1,5
12,renewal,4,control,0,CS+,0,1,5
12,renewal,5,control,0,CS+,0,2,6
12,renewal,6,control,0,CS+,0,2,6
12,renewal,7,control,0,CS+,0,2,6
12,renewal,8,control,0,CS+,0,2,6
12,renewal,9,control,0,CS+,0,2,6
12,renewal,10,control,0,CS+,0,2,6
12,renewal,11,control,0,CS+,0,2,6
12,renewal,12,control,0,CS+,0,2,6
12,renewal,1,control,0.570964097,CS-,0.326,1,5
12,renewal,2,control,0,CS-,0,1,5
12,renewal,3,control,0,CS-,0,1,5
12,renewal,4,control,0,CS-,0,1,5
12,renewal,5,control,0,CS-,0,2,6
12,renewal,6,control,0,CS-,0,2,6
12,renewal,7,control,0,CS-,0,2,6
12,renewal,8,control,0,CS-,0,2,6
12,renewal,9,control,0,CS-,0,2,6
12,renewal,10,control,0,CS-,0,2,6
12,renewal,11,control,0,CS-,0,2,6
12,renewal,12,control,0,CS-,0,2,6
13,renewal,1,control,0,CS+,0,1,5
13,renewal,2,control,0,CS+,0,1,5
13,renewal,3,control,0,CS+,0,1,5
13,renewal,4,control,0,CS+,0,1,5
13,renewal,5,control,0,CS+,0,2,6
13,renewal,6,control,0,CS+,0,2,6
13,renewal,7,control,0,CS+,0,2,6
13,renewal,8,control,0,CS+,0,2,6
13,renewal,9,control,0,CS+,0,2,6
13,renewal,10,control,0,CS+,0,2,6
13,renewal,11,control,0,CS+,0,2,6
13,renewal,12,control,0,CS+,0,2,6
13,renewal,1,control,0,CS-,0,1,5
13,renewal,2,control,0,CS-,0,1,5
13,renewal,3,control,0,CS-,0,1,5
13,renewal,4,control,0,CS-,0,1,5
13,renewal,5,control,0,CS-,0,2,6
13,renewal,6,control,0,CS-,0,2,6
13,renewal,7,control,0,CS-,0,2,6
13,renewal,8,control,0,CS-,0,2,6
13,renewal,9,control,0,CS-,0,2,6
13,renewal,10,control,0,CS-,0,2,6
13,renewal,11,control,0,CS-,0,2,6
13,renewal,12,control,0,CS-,0,2,6
14,renewal,1,control,0,CS+,0,1,5
14,renewal,2,control,0,CS+,0,1,5
14,renewal,3,control,0,CS+,0,1,5
14,renewal,4,control,0,CS+,0,1,5
14,renewal,5,control,0,CS+,0,2,6
14,renewal,6,control,0,CS+,0,2,6
14,renewal,7,control,0,CS+,0,2,6
14,renewal,8,control,0,CS+,0,2,6
14,renewal,9,control,0,CS+,0,2,6
14,renewal,10,control,0,CS+,0,2,6
