Phase,Subjects,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Extinction,10,0.875,0.242,0,0.3,0,0.453,0,0,0,0,0,0.848,0.767,0,0,0.238,0.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0,0,0,0,0,0,0,0,0,0,0,0.474,0,0,0,0,0.311
Extinction,12,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0.341,0,0.471,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0.727,0,0,0,0,0,0,0,0
Extinction,13,1.803,0.622,0.926,0.897,0.709,0.593,0.346,0.909,1.637,0.782,1.043,1.416,0.747,0.743,0.717,0.251,1.295,0,0.44,0.358,0,0,0.566,0,0.34,0,0.473,0,0,0,0,0,1.06,0,1.611,0,0,1.35,0,0,0,0,0,0,0,0,0,0.283
Extinction,14,0,0.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,16,0.605,0,0.759,0,0,0.25,0.236,0,0.952,0,0,0.52,0,0,0,0.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0
Extinction,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0
Extinction,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,23,0,0,0,0.253,0,0,0,0.736,0,0,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0,0,0,0,1.219,0,1.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,26,0.202,0.216,0,0.202,1.58,0,0,0.209,0.514,0,0,0,0,2.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204
Extinction,103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Extinction,104,0,0,0.608,0,0,1.023,0,0,0,0,0,0.828,0,0,0,0.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,0,0,0,0,1.844,0,0,0,0,0,0,0,0.503
Extinction,106,0,0,0.213,0,0,0.209,0.318,0,0,0,0,0,0,0,0,0,0,0,0.228,0,0,0,0,0,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0,0.456,0.241,0.213,0,0,0,0,0,0,0
Extinction,107,0.209,0,0.302,0,0,0.614,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0.234,0,0,0,1.306,0.228,0,0,0,0,0,0,0,0,0,0,0.563,0,0.363,0,0.337,0.37,0.21,0,0,0,0,0,0
Extinction,108,0,0.91,0.527,0.631,0.428,0,0,0,0,0.259,0,0,0,0,0,0,0,0.268,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,109,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.213,0,0,0,0,0,0,0.25,0,0,0,0,0,0
Extinction,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,111,0,0.364,0,0,0,1.164,0,1.855,0,1.138,0.508,0,0,0,0,0,1.097,0,0,0,0.741,0.537,0.221,0,0.579,0.984,0,0.529,0,0.914,0,0,0,0,0,0,0.309,0.332,0,0.425,0,0.286,0.277,0.248,0,0.646,0.207,0.671
Extinction,112,1.856,0,0,0.779,0,0,0,0,0,0.721,0.779,0.3,0,0,0,0,0,0.628,0,0.611,0,0,0,0,0,0.54,0,0,0,0,0,0.489,0,0,0,0,0.46,0,0,0.474,0,0,0.463,0,0,0,0.466,0
Extinction,113,1.48,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Extinction,114,0,0,0.93,0,0.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,115,0,1.327,1.451,0.26,1.385,0.888,0.985,0,0,0,0.714,0,0,0.593,0,0,0,0,0,0,0,0,0,0,0.309,0,0,0,0,0.416,0.354,0,0,0.358,0,0,0,0,0,0,0,0,0,0,0.831,0.389,0,0
Extinction,116,2.33,1.942,2.235,1.55,0.706,0,1.1,1.322,0,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,117,0.486,1.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,118,0.63,0,0,0.375,0,0,0,0,0.405,0,0,0.393,0,0,0,0,0,0,0,0,0.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0
Extinction,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,122,1.008,0,3.532,7.81,0.717,2.293,3.205,0,1.847,0,0,0.64,0,0,0,6.559,3.155,0,2.503,0.854,0.756,0.709,0,0.445,0.749,1.966,1.382,0,0,0.227,0,0.204,0,0.411,0,0,0,0.498,0,0,0,0,0.561,0,0,0,0,0
Extinction,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extinction,124,1.591,0.721,0,0,0.576,0.668,0,0,0,0,0,0,0,0,0,2.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345,0,0,0,0,0,0,0,0,0,0.952,0,0,0,0,0,0
Extinction,125,1.091,0,3.355,1.757,0,0.883,2.981,0,1.96,0,0,0.788,0,1.214,0,0,0.227,0,0.572,0.209,1.992,0,0,0,0,0.573,0,6.64,0,0,3.941,0,0.457,0,0,0,0,0,0,2.63,0,0.207,0,0,0,0,0,0.241
