subject,condition,encode_phase,category,source_memory,typicality,trial_number,hc_acc
113,CS-,acquisition,tools,2.0833333333333335,3.6666666666666665,12.5,0.25
113,CS-,baseline,tools,2.0833333333333335,3.2083333333333335,12.5,0.2916666666666667
113,CS-,extinction,tools,1.9166666666666667,4.0,12.5,0.16666666666666666
114,CS+,acquisition,animals,2.0,6.416666666666667,12.5,0.8333333333333334
114,CS+,baseline,animals,2.0833333333333335,5.125,12.5,0.5833333333333334
114,CS+,extinction,animals,2.125,5.541666666666667,12.5,0.625
114,CS-,acquisition,animals,2.0833333333333335,5.0,12.5,0.4583333333333333
114,CS-,baseline,animals,2.0833333333333335,5.25,12.5,0.4166666666666667
114,CS-,extinction,animals,2.2083333333333335,4.416666666666667,12.5,0.16666666666666666
116,CS+,acquisition,animals,2.125,5.791666666666667,12.5,0.20833333333333334
116,CS+,baseline,animals,2.1666666666666665,5.125,12.5,0.20833333333333334
116,CS+,extinction,animals,2.0416666666666665,5.208333333333333,12.5,0.041666666666666664
116,CS-,acquisition,animals,1.5416666666666667,4.083333333333333,12.5,0.08333333333333333
116,CS-,baseline,animals,1.75,4.041666666666667,12.5,0.16666666666666666
116,CS-,extinction,animals,1.625,3.8333333333333335,12.5,0.041666666666666664
117,CS+,acquisition,tools,1.9166666666666667,4.25,12.5,0.75
117,CS+,baseline,tools,1.75,4.875,12.5,0.4583333333333333
117,CS+,extinction,tools,2.5,4.208333333333333,12.5,0.20833333333333334
117,CS-,acquisition,tools,2.25,3.9583333333333335,12.5,0.7916666666666666
117,CS-,baseline,tools,2.0,3.875,12.5,0.6666666666666666
117,CS-,extinction,tools,2.2916666666666665,3.4166666666666665,12.5,0.375
118,CS+,acquisition,animals,2.3333333333333335,5.833333333333333,12.5,0.4166666666666667
118,CS+,baseline,animals,2.375,5.833333333333333,12.5,0.4583333333333333
118,CS+,extinction,animals,2.5833333333333335,5.958333333333333,12.5,0.25
118,CS-,acquisition,animals,2.6666666666666665,4.0,12.5,0.25
118,CS-,baseline,animals,2.5,4.333333333333333,12.5,0.125
118,CS-,extinction,animals,2.6666666666666665,3.3333333333333335,12.5,0.08333333333333333
