,subject,condition,encode_phase,response_phase,prop,mem_prop
255,17,CS+,acquisition,baseline,0.04166666666666666,0.047619047619047616
256,17,CS+,acquisition,acquisition,0.9166666666666666,0.9523809523809524
257,17,CS+,acquisition,extinction,0.04166666666666666,0.0
258,17,CS+,extinction,baseline,0.125,0.0625
259,17,CS+,extinction,acquisition,0.6666666666666666,0.875
260,17,CS+,extinction,extinction,0.20833333333333331,0.0625
261,17,CS-,baseline,baseline,0.2916666666666667,0.2777777777777778
262,17,CS-,baseline,acquisition,0.4583333333333333,0.5
263,17,CS-,baseline,extinction,0.25,0.2222222222222222
264,17,CS-,acquisition,baseline,0.375,0.3333333333333333
265,17,CS-,acquisition,acquisition,0.4583333333333333,0.5333333333333333
266,17,CS-,acquisition,extinction,0.16666666666666666,0.13333333333333333
267,17,CS-,extinction,baseline,0.2916666666666667,0.16666666666666666
268,17,CS-,extinction,acquisition,0.20833333333333331,0.3333333333333333
269,17,CS-,extinction,extinction,0.5,0.5
270,19,CS+,baseline,baseline,0.5416666666666666,0.631578947368421
271,19,CS+,baseline,acquisition,0.125,0.10526315789473684
272,19,CS+,baseline,extinction,0.3333333333333333,0.2631578947368421
273,19,CS+,acquisition,baseline,0.375,0.4666666666666667
274,19,CS+,acquisition,acquisition,0.3333333333333333,0.3333333333333333
275,19,CS+,acquisition,extinction,0.2916666666666667,0.2
276,19,CS+,extinction,baseline,0.16666666666666666,0.26666666666666666
277,19,CS+,extinction,acquisition,0.2916666666666667,0.2
278,19,CS+,extinction,extinction,0.5416666666666666,0.5333333333333333
279,19,CS-,baseline,baseline,0.2916666666666667,0.25
280,19,CS-,baseline,acquisition,0.16666666666666666,0.15
281,19,CS-,baseline,extinction,0.5416666666666666,0.6
282,19,CS-,acquisition,baseline,0.375,0.5625
283,19,CS-,acquisition,acquisition,0.16666666666666666,0.0625
284,19,CS-,acquisition,extinction,0.4583333333333333,0.375
285,19,CS-,extinction,baseline,0.25,0.25
286,19,CS-,extinction,acquisition,0.2916666666666667,0.3125
287,19,CS-,extinction,extinction,0.4583333333333333,0.4375
288,21,CS+,baseline,baseline,0.375,0.4615384615384616
289,21,CS+,baseline,acquisition,0.4583333333333333,0.3076923076923077
290,21,CS+,baseline,extinction,0.16666666666666666,0.2307692307692308
291,21,CS+,acquisition,baseline,0.16666666666666666,0.14285714285714285
292,21,CS+,acquisition,acquisition,0.75,0.7857142857142857
293,21,CS+,acquisition,extinction,0.08333333333333333,0.07142857142857142
294,21,CS+,extinction,baseline,0.08333333333333333,0.3333333333333333
295,21,CS+,extinction,acquisition,0.4166666666666667,0.3333333333333333
296,21,CS+,extinction,extinction,0.5,0.3333333333333333
297,21,CS-,baseline,baseline,0.4166666666666667,0.4
298,21,CS-,baseline,acquisition,0.25,0.3333333333333333
299,21,CS-,baseline,extinction,0.3333333333333333,0.26666666666666666
300,21,CS-,acquisition,baseline,0.2916666666666667,0.35
301,21,CS-,acquisition,acquisition,0.4166666666666667,0.45
302,21,CS-,acquisition,extinction,0.2916666666666667,0.2
303,21,CS-,extinction,baseline,0.5,0.5
304,21,CS-,extinction,acquisition,0.16666666666666666,0.375
305,21,CS-,extinction,extinction,0.3333333333333333,0.125
306,101,CS+,baseline,baseline,0.125,0.0
307,101,CS+,baseline,acquisition,0.4166666666666667,0.75
308,101,CS+,baseline,extinction,0.4583333333333333,0.25
309,101,CS+,acquisition,baseline,0.125,0.0625
310,101,CS+,acquisition,acquisition,0.625,0.875
311,101,CS+,acquisition,extinction,0.25,0.0625
312,101,CS+,extinction,baseline,0.20833333333333331,0.2727272727272727
313,101,CS+,extinction,acquisition,0.4166666666666667,0.7272727272727273
314,101,CS+,extinction,extinction,0.375,0.0
315,101,CS-,baseline,baseline,0.3333333333333333,1.0
316,101,CS-,baseline,acquisition,0.125,0.0
317,101,CS-,baseline,extinction,0.5416666666666666,0.0
318,101,CS-,acquisition,baseline,0.08333333333333333,0.0
319,101,CS-,acquisition,acquisition,0.25,1.0
320,101,CS-,acquisition,extinction,0.6666666666666666,0.0
321,101,CS-,extinction,baseline,0.25,0.0
322,101,CS-,extinction,acquisition,0.3333333333333333,1.0
323,101,CS-,extinction,extinction,0.4166666666666667,0.0
324,102,CS+,baseline,baseline,0.08333333333333333,0.14285714285714285
325,102,CS+,baseline,acquisition,0.16666666666666666,0.14285714285714285
