subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,group,hc_acc
3,animals/sheep.jpg,3,2,CS+,acquisition,MO,healthy,0
3,animals/turkey.jpg,1,2,CS+,acquisition,MN,healthy,0
3,animals/mahimahi.jpg,2,1,CS+,acquisition,DN,healthy,0
3,animals/dramaderry.jpg,3,1,CS+,acquisition,MO,healthy,0
3,animals/firebug.jpg,2,3,CS+,acquisition,DO,healthy,1
3,animals/aardvark.jpg,3,1,CS+,extinction,MO,healthy,0
3,animals/hyena.jpg,3,1,CS+,extinction,MO,healthy,0
3,animals/racoon.jpg,1,2,CS+,extinction,MO,healthy,0
3,animals/flamingo.jpg,3,1,CS+,extinction,DO,healthy,1
3,animals/canary.jpg,1,4,CS+,extinction,DO,healthy,1
3,animals/horse.jpg,3,6,CS+,extinction,MN,healthy,0
3,animals/zebra.jpg,3,6,CS+,extinction,DO,healthy,1
3,animals/finch.jpg,2,3,CS+,extinction,MO,healthy,0
3,tools/plunger.jpg,2,6,CS-,baseline,DO,healthy,1
3,tools/plow.jpg,3,1,CS-,baseline,MN,healthy,0
3,tools/chisel.jpg,1,1,CS-,baseline,DN,healthy,0
3,tools/rollingpin.jpg,3,2,CS-,baseline,DO,healthy,1
3,tools/scissors.jpg,2,7,CS-,baseline,DO,healthy,1
3,tools/reflexhammer.jpg,1,3,CS-,baseline,DO,healthy,1
3,tools/gong.jpg,2,1,CS-,baseline,,healthy,0
3,tools/wheelbarrow.jpg,2,4,CS-,baseline,DO,healthy,1
3,tools/sander.jpg,1,1,CS-,acquisition,DN,healthy,0
3,tools/fan.jpg,2,6,CS-,acquisition,DN,healthy,0
3,tools/measuringdevice.jpg,1,1,CS-,acquisition,MN,healthy,0
3,tools/ruler.jpg,2,7,CS-,acquisition,MN,healthy,0
3,tools/pruner.jpg,3,4,CS-,acquisition,MN,healthy,0
3,tools/eraser.jpg,2,5,CS-,acquisition,DN,healthy,0
3,tools/beaker.jpg,3,6,CS-,acquisition,MO,healthy,0
3,tools/woodchipper.jpg,1,1,CS-,acquisition,DN,healthy,0
3,tools/padlock.jpg,2,5,CS-,extinction,MO,healthy,0
3,tools/toaster.jpg,1,5,CS-,extinction,DN,healthy,0
3,tools/carpetblower.jpg,2,3,CS-,extinction,DO,healthy,1
3,tools/extensioncord.jpg,1,3,CS-,extinction,DN,healthy,0
3,tools/treadmill.jpg,1,5,CS-,extinction,DO,healthy,1
3,tools/airpump.jpg,1,1,CS-,extinction,DN,healthy,0
3,tools/monkeywrench.jpg,2,4,CS-,extinction,MO,healthy,0
3,tools/workbench.jpg,2,1,CS-,extinction,DN,healthy,0
3,animals/dragonfly.jpg,3,1,CS+,baseline,DN,healthy,0
3,animals/cow.jpg,1,7,CS+,baseline,MO,healthy,0
3,animals/angelfish.jpg,1,3,CS+,baseline,DN,healthy,0
3,animals/pelican.jpg,2,3,CS+,baseline,DO,healthy,1
3,animals/giraffe.jpg,1,4,CS+,baseline,MN,healthy,0
3,animals/baboon.jpg,2,5,CS+,baseline,DO,healthy,1
3,animals/hummingbird.jpg,1,2,CS+,baseline,MN,healthy,0
