subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,trial_number,group,hc_acc
s2,animals/chipmunk.jpg,baseline,2,CS+,acquisition,DO,20,healthy,1
s2,animals/duck.jpg,baseline,4,CS+,acquisition,DN,12,healthy,0
s2,animals/herring.jpg,acquisition,5,CS+,acquisition,DO,18,healthy,1
s2,animals/carp.jpg,acquisition,5,CS+,acquisition,DO,11,healthy,1
s2,animals/sheep.jpg,extinction,5,CS+,acquisition,DO,1,healthy,1
s2,animals/mahimahi.jpg,baseline,6,CS+,acquisition,DO,21,healthy,1
s2,animals/brown_bear.jpg,acquisition,7,CS+,acquisition,DO,4,healthy,1
s2,animals/starfish.jpg,acquisition,6,CS+,extinction,DO,23,healthy,1
s2,animals/halibut.jpg,acquisition,6,CS+,extinction,DO,11,healthy,1
s2,animals/elephantafrican.jpg,acquisition,7,CS+,extinction,DO,21,healthy,1
s2,animals/hyena.jpg,acquisition,5,CS+,extinction,DO,7,healthy,1
s2,animals/cat.jpg,extinction,7,CS+,extinction,DO,3,healthy,1
s2,animals/aardvark.jpg,baseline,6,CS+,extinction,DO,4,healthy,1
s2,animals/shrimp.jpg,extinction,2,CS+,extinction,DN,5,healthy,0
s2,animals/horse.jpg,acquisition,7,CS+,extinction,DO,18,healthy,1
s2,tools/faxmachine.jpg,baseline,5,CS-,baseline,DO,22,healthy,1
s2,tools/cheesegrater.jpg,acquisition,7,CS-,baseline,DO,18,healthy,1
s2,tools/electricbreaker.jpg,acquisition,5,CS-,baseline,DO,4,healthy,1
s2,tools/pliers.jpg,acquisition,7,CS-,baseline,MN,23,healthy,0
s2,tools/chisel.jpg,extinction,7,CS-,baseline,DO,1,healthy,1
s2,tools/rollingpin.jpg,baseline,5,CS-,baseline,MN,19,healthy,0
s2,tools/weldinghelmet.jpg,extinction,7,CS-,baseline,DO,20,healthy,1
s2,tools/ropeandpulley.jpg,acquisition,7,CS-,baseline,DO,8,healthy,1
s2,tools/mallet.jpg,baseline,5,CS-,acquisition,DO,9,healthy,1
s2,tools/ruler.jpg,extinction,7,CS-,acquisition,DN,22,healthy,0
s2,tools/eraser.jpg,baseline,7,CS-,acquisition,MO,21,healthy,0
s2,tools/woodchipper.jpg,extinction,2,CS-,acquisition,DN,16,healthy,0
s2,tools/levelmount.jpg,baseline,1,CS-,acquisition,DO,6,healthy,1
s2,tools/measuringcups.jpg,baseline,7,CS-,acquisition,,10,healthy,0
s2,tools/viceclamp.jpg,acquisition,4,CS-,acquisition,DN,13,healthy,0
s2,tools/benchdogs.jpg,baseline,5,CS-,acquisition,MN,20,healthy,0
s2,tools/solderingtorch.jpg,baseline,6,CS-,extinction,MO,9,healthy,0
s2,tools/camera.jpg,extinction,6,CS-,extinction,DN,2,healthy,0
s2,tools/treadmill.jpg,baseline,7,CS-,extinction,DN,18,healthy,0
s2,tools/workbench.jpg,extinction,5,CS-,extinction,DO,13,healthy,1
s2,tools/hammer.jpg,baseline,7,CS-,extinction,DO,14,healthy,1
s2,tools/duffelbag.jpg,acquisition,7,CS-,extinction,DO,12,healthy,1
s2,tools/campingstove.jpg,extinction,1,CS-,extinction,MN,22,healthy,0
s2,tools/toaster.jpg,acquisition,7,CS-,extinction,DN,5,healthy,0
s3,tools/routerplane.jpg,baseline,1,CS-,acquisition,MO,17,healthy,0
s3,tools/hammer.jpg,extinction,6,CS-,extinction,MN,8,healthy,0
s3,tools/solderingtorch.jpg,extinction,1,CS-,extinction,MN,4,healthy,0
s3,tools/edger.jpg,acquisition,5,CS-,extinction,DN,9,healthy,0
s3,animals/elephantafrican.jpg,extinction,6,CS+,extinction,DO,20,healthy,1
s3,animals/starfish.jpg,acquisition,5,CS+,extinction,DO,4,healthy,1
s3,animals/carp.jpg,extinction,7,CS+,acquisition,DO,14,healthy,1
s3,animals/pigeon.jpg,extinction,4,CS+,baseline,DO,16,healthy,1
s3,animals/shrimp.jpg,baseline,4,CS+,extinction,DN,7,healthy,0
s3,tools/sparkplug.jpg,baseline,4,CS-,acquisition,MO,15,healthy,0
s3,animals/cat.jpg,extinction,7,CS+,extinction,MO,2,healthy,0
s3,tools/ropeandpulley.jpg,baseline,3,CS-,baseline,MO,6,healthy,0
s3,animals/brown_bear.jpg,acquisition,5,CS+,acquisition,DO,13,healthy,1
s3,animals/snapper.jpg,baseline,4,CS+,baseline,MN,24,healthy,0
s3,tools/viceclamp.jpg,acquisition,2,CS-,acquisition,MO,10,healthy,0
s3,tools/blower.jpg,extinction,5,CS-,extinction,MN,17,healthy,0
s3,animals/chipmunk.jpg,acquisition,5,CS+,acquisition,MN,20,healthy,0
s3,tools/measuringtape.jpg,baseline,5,CS-,extinction,MO,15,healthy,0
s3,animals/caterpillarpeacockmoth.jpg,acquisition,2,CS+,baseline,DO,17,healthy,1
s3,tools/benchdogs.jpg,extinction,1,CS-,acquisition,,5,healthy,0
s3,tools/faxmachine.jpg,acquisition,3,CS-,baseline,DN,5,healthy,0
s3,animals/llama.jpg,extinction,2,CS+,extinction,MO,1,healthy,0
s3,tools/gardenhose.jpg,baseline,5,CS-,baseline,DN,8,healthy,0
s3,tools/ladder.jpg,acquisition,4,CS-,baseline,DN,1,healthy,0
s3,animals/mouse.jpg,acquisition,4,CS+,acquisition,DO,22,healthy,1
s3,tools/videogamecontroller.jpg,extinction,6,CS-,extinction,DO,10,healthy,1
s3,tools/thermometer.jpg,baseline,5,CS-,acquisition,DN,7,healthy,0
s3,animals/pike.jpg,baseline,4,CS+,baseline,MO,20,healthy,0
s3,animals/anteater.jpg,extinction,1,CS+,acquisition,MO,15,healthy,0
s3,tools/blackboard.jpg,acquisition,4,CS-,acquisition,MO,2,healthy,0
s3,animals/porcupine.jpg,baseline,3,CS+,baseline,DO,21,healthy,1
s3,tools/microwave.jpg,acquisition,6,CS-,extinction,DN,24,healthy,0
s3,animals/catfish.jpg,acquisition,3,CS+,acquisition,MO,8,healthy,0
s3,tools/weedeater.jpg,extinction,4,CS-,acquisition,DO,19,healthy,1
s3,tools/paintroller.jpg,baseline,5,CS-,baseline,MN,15,healthy,0
s3,animals/marmot.jpg,extinction,2,CS+,extinction,DO,16,healthy,1
s3,animals/shark.jpg,baseline,4,CS+,acquisition,DN,1,healthy,0
s3,tools/drillbit.jpg,baseline,3,CS-,baseline,DN,10,healthy,0
s3,tools/rake.jpg,acquisition,4,CS-,baseline,DO,2,healthy,1
s3,animals/goldfish.jpg,extinction,5,CS+,extinction,DO,17,healthy,1
s3,animals/crow.jpg,baseline,4,CS+,baseline,MO,6,healthy,0
s3,animals/tiger.jpg,extinction,6,CS+,baseline,MO,14,healthy,0
s3,tools/paintbrush.jpg,baseline,5,CS-,extinction,DN,18,healthy,0
s3,tools/spoon.jpg,acquisition,7,CS-,acquisition,MO,9,healthy,0
s3,animals/gerbil.jpg,acquisition,5,CS+,baseline,DO,3,healthy,1
s3,animals/partridge.jpg,extinction,1,CS+,acquisition,MN,11,healthy,0
s3,tools/hairdryer.jpg,baseline,5,CS-,baseline,MO,11,healthy,0
s3,animals/cricket.jpg,acquisition,3,CS+,extinction,DO,15,healthy,1
s3,animals/flea.jpg,baseline,1,CS+,baseline,MN,7,healthy,0
s3,animals/waterbuffalo.jpg,extinction,3,CS+,baseline,MO,9,healthy,0
s3,animals/quail.jpg,baseline,2,CS+,baseline,DN,15,healthy,0
s3,animals/prayingmantis.jpg,acquisition,1,CS+,baseline,MO,8,healthy,0
s3,animals/leopard.jpg,extinction,4,CS+,baseline,MO,19,healthy,0
s3,animals/mole.jpg,baseline,1,CS+,baseline,MO,23,healthy,0
s3,animals/boar.jpg,acquisition,2,CS+,baseline,DO,12,healthy,1
s3,animals/herculesbeetle.jpg,baseline,1,CS+,baseline,DO,1,healthy,1
s3,animals/mink.jpg,extinction,1,CS+,acquisition,DO,4,healthy,1
s3,animals/palmcockatoo.jpg,extinction,1,CS+,acquisition,MO,16,healthy,0
s3,animals/seal.jpg,baseline,2,CS+,acquisition,MO,23,healthy,0
s3,animals/sheep.jpg,extinction,2,CS+,acquisition,MO,7,healthy,0
s3,animals/turkey.jpg,baseline,2,CS+,acquisition,MN,12,healthy,0
s3,animals/mahimahi.jpg,acquisition,1,CS+,acquisition,DN,10,healthy,0
s3,animals/dramaderry.jpg,extinction,1,CS+,acquisition,MO,18,healthy,0
s3,animals/firebug.jpg,acquisition,3,CS+,acquisition,DO,3,healthy,1
s3,animals/aardvark.jpg,extinction,1,CS+,extinction,MO,18,healthy,0
s3,animals/hyena.jpg,extinction,1,CS+,extinction,MO,5,healthy,0
s3,animals/racoon.jpg,baseline,2,CS+,extinction,MO,9,healthy,0
s3,animals/flamingo.jpg,extinction,1,CS+,extinction,DO,24,healthy,1
s3,animals/canary.jpg,baseline,4,CS+,extinction,DO,3,healthy,1
s3,animals/horse.jpg,extinction,6,CS+,extinction,MN,11,healthy,0
s3,animals/zebra.jpg,extinction,6,CS+,extinction,DO,10,healthy,1
s3,animals/finch.jpg,acquisition,3,CS+,extinction,MO,8,healthy,0
s3,tools/plunger.jpg,acquisition,6,CS-,baseline,DO,22,healthy,1
s3,tools/plow.jpg,extinction,1,CS-,baseline,MN,14,healthy,0
s3,tools/chisel.jpg,baseline,1,CS-,baseline,DN,3,healthy,0
s3,tools/rollingpin.jpg,extinction,2,CS-,baseline,DO,19,healthy,1
s3,tools/scissors.jpg,acquisition,7,CS-,baseline,DO,21,healthy,1
s3,tools/reflexhammer.jpg,baseline,3,CS-,baseline,DO,17,healthy,1
s3,tools/gong.jpg,acquisition,1,CS-,baseline,,24,healthy,0
s3,tools/wheelbarrow.jpg,acquisition,4,CS-,baseline,DO,12,healthy,1
s3,tools/sander.jpg,baseline,1,CS-,acquisition,DN,3,healthy,0
s3,tools/fan.jpg,acquisition,6,CS-,acquisition,DN,6,healthy,0
s3,tools/measuringdevice.jpg,baseline,1,CS-,acquisition,MN,13,healthy,0
s3,tools/ruler.jpg,acquisition,7,CS-,acquisition,MN,11,healthy,0
s3,tools/pruner.jpg,extinction,4,CS-,acquisition,MN,1,healthy,0
s3,tools/eraser.jpg,acquisition,5,CS-,acquisition,DN,21,healthy,0
s3,tools/beaker.jpg,extinction,6,CS-,acquisition,MO,22,healthy,0
s3,tools/woodchipper.jpg,baseline,1,CS-,acquisition,DN,16,healthy,0
s3,tools/padlock.jpg,acquisition,5,CS-,extinction,MO,3,healthy,0
s3,tools/toaster.jpg,baseline,5,CS-,extinction,DN,21,healthy,0
s3,tools/carpetblower.jpg,acquisition,3,CS-,extinction,DO,19,healthy,1
s3,tools/extensioncord.jpg,baseline,3,CS-,extinction,DN,7,healthy,0
s3,tools/treadmill.jpg,baseline,5,CS-,extinction,DO,11,healthy,1
s3,tools/airpump.jpg,baseline,1,CS-,extinction,DN,14,healthy,0
s3,tools/monkeywrench.jpg,acquisition,4,CS-,extinction,MO,20,healthy,0
s3,tools/workbench.jpg,acquisition,1,CS-,extinction,DN,2,healthy,0
s3,animals/dragonfly.jpg,extinction,1,CS+,baseline,DN,22,healthy,0
s3,animals/cow.jpg,baseline,7,CS+,baseline,MO,2,healthy,0
s3,animals/angelfish.jpg,baseline,3,CS+,baseline,DN,11,healthy,0
s3,animals/pelican.jpg,acquisition,3,CS+,baseline,DO,4,healthy,1
s3,animals/giraffe.jpg,baseline,4,CS+,baseline,MN,18,healthy,0
s3,animals/baboon.jpg,acquisition,5,CS+,baseline,DO,10,healthy,1
s3,animals/hummingbird.jpg,baseline,2,CS+,baseline,MN,13,healthy,0
s3,animals/ostrich.jpg,extinction,1,CS+,baseline,DO,5,healthy,1
s3,animals/snail.jpg,acquisition,3,CS+,acquisition,MO,6,healthy,0
s3,animals/ant.jpg,acquisition,3,CS+,acquisition,MO,5,healthy,0
s3,animals/herring.jpg,acquisition,6,CS+,acquisition,MO,9,healthy,0
s3,animals/camel.jpg,extinction,3,CS+,acquisition,MO,24,healthy,0
s3,animals/baldeagle.jpg,baseline,6,CS+,acquisition,DN,2,healthy,0
s3,animals/duck.jpg,baseline,3,CS+,acquisition,MO,19,healthy,0
s3,animals/rabbit.jpg,acquisition,4,CS+,acquisition,DO,17,healthy,1
s3,animals/assassinbug.jpg,acquisition,3,CS+,acquisition,MO,21,healthy,0
s3,animals/skunk.jpg,baseline,3,CS+,extinction,MO,19,healthy,0
s3,animals/salmon.jpg,baseline,6,CS+,extinction,MO,22,healthy,0
s3,animals/reindeer.jpg,acquisition,3,CS+,extinction,DN,6,healthy,0
s3,animals/perch.jpg,baseline,1,CS+,extinction,DO,12,healthy,1
s3,animals/caterpillarhawkmoth.jpg,acquisition,1,CS+,extinction,MO,21,healthy,0
s3,animals/rhino.jpg,extinction,3,CS+,extinction,MO,23,healthy,0
s3,animals/halibut.jpg,baseline,1,CS+,extinction,MO,14,healthy,0
s3,animals/cranebug.jpg,acquisition,1,CS+,extinction,MO,13,healthy,0
s3,tools/electricbreaker.jpg,baseline,3,CS-,baseline,MN,18,healthy,0
s3,tools/weldinghelmet.jpg,baseline,1,CS-,baseline,DO,20,healthy,1
s3,tools/beadingtool.jpg,baseline,1,CS-,baseline,DO,7,healthy,1
s3,tools/stove.jpg,acquisition,2,CS-,baseline,MO,4,healthy,0
s3,tools/shoehorn.jpg,acquisition,1,CS-,baseline,DN,13,healthy,0
s3,tools/transmissionwrench.jpg,baseline,1,CS-,baseline,DN,16,healthy,0
s3,tools/pliers.jpg,extinction,5,CS-,baseline,MO,23,healthy,0
s3,tools/cheesegrater.jpg,baseline,6,CS-,baseline,MN,9,healthy,0
s3,tools/vegetablepeeler.jpg,acquisition,3,CS-,acquisition,MN,12,healthy,0
s3,tools/lawnmower.jpg,acquisition,6,CS-,acquisition,DN,18,healthy,0
s3,tools/wrench.jpg,baseline,7,CS-,acquisition,MO,4,healthy,0
s3,tools/measuringcups.jpg,extinction,6,CS-,acquisition,MO,24,healthy,0
s3,tools/mallet.jpg,baseline,1,CS-,acquisition,DN,23,healthy,0
s3,tools/levelmount.jpg,acquisition,1,CS-,acquisition,DN,14,healthy,0
s3,tools/tubeflaring.jpg,baseline,2,CS-,acquisition,DN,20,healthy,0
s3,tools/broom.jpg,baseline,6,CS-,acquisition,MO,8,healthy,0
s3,tools/bucket.jpg,extinction,7,CS-,extinction,MO,6,healthy,0
s3,tools/campingstove.jpg,baseline,1,CS-,extinction,DN,16,healthy,0
s3,tools/squeegee.jpg,acquisition,1,CS-,extinction,MO,22,healthy,0
s3,tools/screwdriver.jpg,baseline,6,CS-,extinction,DO,5,healthy,1
s3,tools/camera.jpg,baseline,1,CS-,extinction,DN,13,healthy,0
s3,tools/jumpercables.jpg,baseline,5,CS-,extinction,DN,23,healthy,0
s3,tools/duffelbag.jpg,acquisition,5,CS-,extinction,MO,1,healthy,0
s3,tools/chainsaw.jpg,acquisition,5,CS-,extinction,MO,12,healthy,0
s4,animals/camel.jpg,baseline,3,CS-,acquisition,DO,13,healthy,1
