subject,encode_phase,response_phase,prop,mem_prop,_count,mem_count,cr,hr,group
9,baseline,extinction,-0.08333333333333337,-0.5833333333333334,-2,-7,-0.2916666666666667,-0.25,healthy
9,acquisition,baseline,0.41666666666666663,0.4117647058823529,10,7,-0.04166666666666663,0.0,healthy
9,acquisition,acquisition,-0.04166666666666663,0.05882352941176472,-1,1,-0.04166666666666663,0.0,healthy
9,acquisition,extinction,-0.375,-0.4705882352941176,-9,-8,-0.04166666666666663,0.0,healthy
9,extinction,baseline,0.08333333333333331,0.21818181818181817,2,0,-0.29166666666666663,-0.25,healthy
9,extinction,acquisition,0.041666666666666685,-0.25454545454545446,1,-4,-0.29166666666666663,-0.25,healthy
9,extinction,extinction,-0.12500000000000003,0.03636363636363632,-3,-2,-0.29166666666666663,-0.25,healthy
10,baseline,baseline,-0.04166666666666663,-0.1333333333333333,-1,-2,0.04166666666666663,0.0,healthy
10,baseline,acquisition,0.08333333333333331,0.0,2,0,0.04166666666666663,0.0,healthy
10,baseline,extinction,-0.04166666666666663,0.1333333333333333,-1,2,0.04166666666666663,0.0,healthy
10,acquisition,baseline,-0.25,-0.2222222222222222,-6,-2,0.625,0.5833333333333334,healthy
10,acquisition,acquisition,0.7916666666666667,0.8260869565217391,19,19,0.625,0.5833333333333334,healthy
10,acquisition,extinction,-0.5416666666666667,-0.6038647342995169,-13,-3,0.625,0.5833333333333334,healthy
10,extinction,baseline,-0.25,-0.15384615384615385,-6,-2,0.33333333333333337,0.29166666666666674,healthy
10,extinction,acquisition,0.45833333333333337,0.4153846153846154,11,11,0.33333333333333337,0.29166666666666674,healthy
10,extinction,extinction,-0.20833333333333331,-0.2615384615384616,-5,-2,0.33333333333333337,0.29166666666666674,healthy
12,baseline,baseline,0.0,-0.17482517482517473,0,-1,0.02083333333333326,0.08333333333333331,healthy
12,baseline,acquisition,0.041666666666666685,0.12587412587412586,1,2,0.02083333333333326,0.08333333333333331,healthy
12,baseline,extinction,-0.041666666666666685,0.04895104895104896,-1,1,0.02083333333333326,0.08333333333333331,healthy
12,acquisition,baseline,-0.3333333333333333,-0.5897435897435896,-8,-1,0.3541666666666666,0.41666666666666663,healthy
12,acquisition,acquisition,0.41666666666666663,0.2820512820512821,10,7,0.3541666666666666,0.41666666666666663,healthy
12,acquisition,extinction,-0.08333333333333331,0.3076923076923077,-2,4,0.3541666666666666,0.41666666666666663,healthy
12,extinction,baseline,0.04166666666666663,-0.5,1,-1,-0.02083333333333333,0.04166666666666667,healthy
12,extinction,acquisition,-0.20833333333333334,-0.16666666666666669,-5,0,-0.02083333333333333,0.04166666666666667,healthy
12,extinction,extinction,0.16666666666666669,0.6666666666666666,4,2,-0.02083333333333333,0.04166666666666667,healthy
13,baseline,baseline,-0.375,-0.16666666666666663,-9,1,0.125,0.125,healthy
13,baseline,acquisition,0.41666666666666663,0.5,10,3,0.125,0.125,healthy
13,baseline,extinction,-0.04166666666666666,-0.3333333333333333,-1,-1,0.125,0.125,healthy
13,acquisition,baseline,0.0,0.25,0,1,0.0,0.0,healthy
13,acquisition,acquisition,0.125,0.25,3,1,0.0,0.0,healthy
13,acquisition,extinction,-0.125,-0.5,-3,-2,0.0,0.0,healthy
13,extinction,baseline,0.33333333333333337,0.0,8,0,-0.16666666666666666,-0.16666666666666666,healthy
13,extinction,acquisition,-0.04166666666666663,0.6,-1,-1,-0.16666666666666666,-0.16666666666666666,healthy
13,extinction,extinction,-0.2916666666666667,-0.6,-7,-3,-0.16666666666666666,-0.16666666666666666,healthy
14,baseline,baseline,-0.16666666666666669,-0.1111111111111111,-4,-1,0.10416666666666663,0.08333333333333331,healthy
14,baseline,acquisition,0.08333333333333337,0.2222222222222222,2,4,0.10416666666666663,0.08333333333333331,healthy
14,baseline,extinction,0.08333333333333331,-0.1111111111111111,2,-1,0.10416666666666663,0.08333333333333331,healthy
14,acquisition,baseline,-0.16666666666666666,-0.25,-4,-1,0.22916666666666669,0.20833333333333334,healthy
14,acquisition,acquisition,0.41666666666666663,0.13888888888888884,10,5,0.22916666666666669,0.20833333333333334,healthy
14,acquisition,extinction,-0.25,0.1111111111111111,-6,1,0.22916666666666669,0.20833333333333334,healthy
14,extinction,baseline,0.16666666666666669,0.0,4,0,-0.020833333333333343,-0.04166666666666667,healthy
14,extinction,acquisition,0.041666666666666685,0.6666666666666667,1,1,-0.020833333333333343,-0.04166666666666667,healthy
14,extinction,extinction,-0.20833333333333337,-0.6666666666666666,-5,-2,-0.020833333333333343,-0.04166666666666667,healthy
15,baseline,baseline,-0.16666666666666669,-0.4,-4,-3,0.0,0.08333333333333337,healthy
15,baseline,acquisition,0.4166666666666667,0.525,10,6,0.0,0.08333333333333337,healthy
15,baseline,extinction,-0.25,-0.125,-6,-1,0.0,0.08333333333333337,healthy
15,acquisition,baseline,0.04166666666666667,-0.14473684210526316,1,1,0.5416666666666667,0.625,healthy
15,acquisition,acquisition,0.29166666666666663,0.09210526315789469,7,13,0.5416666666666667,0.625,healthy
15,acquisition,extinction,-0.33333333333333337,0.05263157894736842,-8,1,0.5416666666666667,0.625,healthy
15,extinction,baseline,-0.04166666666666666,0.0,-1,0,0.0,0.08333333333333331,healthy
15,extinction,acquisition,0.25,-0.4,6,0,0.0,0.08333333333333331,healthy
15,extinction,extinction,-0.20833333333333337,0.4,-5,2,0.0,0.08333333333333331,healthy
16,baseline,baseline,-0.4166666666666667,-0.33333333333333337,-10,0,0.16666666666666666,0.16666666666666669,healthy
16,baseline,acquisition,0.41666666666666674,0.33333333333333337,10,4,0.16666666666666666,0.16666666666666669,healthy
16,baseline,extinction,0.0,0.0,0,0,0.16666666666666666,0.16666666666666669,healthy
