condition,gc,group,half,phase,quarter,scr,subject
CS+,control_CS+,control,2,fear_conditioning,2,0.0,7
CS-,control_CS-,control,2,fear_conditioning,2,0.0,7
CS+,control_CS+,control,2,fear_conditioning,2,0.13591255366666669,8
CS-,control_CS-,control,2,fear_conditioning,2,0.0,8
CS+,control_CS+,control,2,fear_conditioning,2,0.6266885925,9
CS-,control_CS-,control,2,fear_conditioning,2,0.44575121225,9
CS+,control_CS+,control,2,fear_conditioning,2,0.16230939583333334,10
CS-,control_CS-,control,2,fear_conditioning,2,0.06123724358333333,10
CS+,control_CS+,control,2,fear_conditioning,2,0.09249624616666667,12
CS-,control_CS-,control,2,fear_conditioning,2,0.0,12
CS+,control_CS+,control,2,fear_conditioning,2,0.47287219799999997,13
CS-,control_CS-,control,2,fear_conditioning,2,0.7592828754166666,13
CS+,control_CS+,control,2,fear_conditioning,2,0.0,14
CS-,control_CS-,control,2,fear_conditioning,2,0.0,14
CS+,control_CS+,control,2,fear_conditioning,2,0.09860132966666667,15
CS-,control_CS-,control,2,fear_conditioning,2,0.0,15
CS+,control_CS+,control,2,fear_conditioning,2,0.2774715071666667,16
CS-,control_CS-,control,2,fear_conditioning,2,0.0,16
CS+,control_CS+,control,2,fear_conditioning,2,0.251628085,17
CS-,control_CS-,control,2,fear_conditioning,2,0.06800735258333333,17
CS+,control_CS+,control,2,fear_conditioning,2,0.0,18
CS-,control_CS-,control,2,fear_conditioning,2,0.0,18
CS+,control_CS+,control,2,fear_conditioning,2,0.0,19
CS-,control_CS-,control,2,fear_conditioning,2,0.0,19
CS+,control_CS+,control,2,fear_conditioning,2,0.0,20
CS-,control_CS-,control,2,fear_conditioning,2,0.0,20
CS+,control_CS+,control,2,fear_conditioning,2,0.0,21
CS-,control_CS-,control,2,fear_conditioning,2,0.0,21
CS+,control_CS+,control,2,fear_conditioning,2,0.33705068433333335,23
CS-,control_CS-,control,2,fear_conditioning,2,0.1256874845,23
CS+,control_CS+,control,2,fear_conditioning,2,0.467813593,24
CS-,control_CS-,control,2,fear_conditioning,2,0.04564354649999999,24
CS+,control_CS+,control,2,fear_conditioning,2,0.0,25
CS-,control_CS-,control,2,fear_conditioning,2,0.0,25
CS+,control_CS+,control,2,fear_conditioning,2,0.7590239008333333,26
CS-,control_CS-,control,2,fear_conditioning,2,0.0,26
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,101
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.056273143416666664,101
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.31310123083333335,102
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,102
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,103
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,103
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.1616752575,104
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.25848964441666666,104
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,105
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,105
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.32529020933333336,106
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0400520495,106
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.11266962516666666,107
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.059395098916666667,107
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.5212868403333334,108
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.10262745316666666,108
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.09067647000000001,109
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,109
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,110
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,110
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.35784628199999996,111
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.29777057725,111
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,112
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,112
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.17061978516666665,113
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,113
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,114
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,114
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,1.0892146486666665,115
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.36884188975000004,115
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.8295340008333335,116
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.20157089783333335,116
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.31480045116666666,117
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.06927200816666666,117
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.327033873,118
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.10327920575,118
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,120
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,120
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,121
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.10527741133333333,121
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,2.0482584765,122
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.26754443450000004,122
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.0,123
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.0,123
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,0.1086533735,124
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.12151971883333335,124
CS+,ptsd_CS+,ptsd,2,fear_conditioning,2,1.0719622443333334,125
CS-,ptsd_CS-,ptsd,2,fear_conditioning,2,0.49237651016666667,125
CS+,control_CS+,control,1,extinction,3,0.326604899,1
CS-,control_CS-,control,1,extinction,3,0.3838244595,1
CS+,control_CS+,control,1,extinction,3,0.66943329175,2
CS-,control_CS-,control,1,extinction,3,0.10037235483333333,2
CS+,control_CS+,control,1,extinction,3,0.17067708516666666,3
CS-,control_CS-,control,1,extinction,3,0.0,3
CS+,control_CS+,control,1,extinction,3,,4
CS-,control_CS-,control,1,extinction,3,,4
CS+,control_CS+,control,1,extinction,3,,5
CS-,control_CS-,control,1,extinction,3,,5
CS+,control_CS+,control,1,extinction,3,0.0,6
CS-,control_CS-,control,1,extinction,3,0.0,6
CS+,control_CS+,control,1,extinction,3,0.0,7
CS-,control_CS-,control,1,extinction,3,0.0,7
CS+,control_CS+,control,1,extinction,3,0.05552777083333333,8
CS-,control_CS-,control,1,extinction,3,0.0,8
CS+,control_CS+,control,1,extinction,3,0.8062749913333332,9
CS-,control_CS-,control,1,extinction,3,0.8544889717499999,9
CS+,control_CS+,control,1,extinction,3,0.31204178725,10
CS-,control_CS-,control,1,extinction,3,0.17006442200000002,10
CS+,control_CS+,control,1,extinction,3,0.09468500866666667,12
CS-,control_CS-,control,1,extinction,3,0.11383335133333335,12
CS+,control_CS+,control,1,extinction,3,0.7895046562500001,13
CS-,control_CS-,control,1,extinction,3,0.6934552677500001,13
CS+,control_CS+,control,1,extinction,3,0.0,14
CS-,control_CS-,control,1,extinction,3,0.06252777158333334,14
CS+,control_CS+,control,1,extinction,3,0.0,15
CS-,control_CS-,control,1,extinction,3,0.0,15
CS+,control_CS+,control,1,extinction,3,0.3850255605,16
CS-,control_CS-,control,1,extinction,3,0.041666666666666664,16
CS+,control_CS+,control,1,extinction,3,0.0,17
CS-,control_CS-,control,1,extinction,3,0.0,17
CS+,control_CS+,control,1,extinction,3,0.0,18
CS-,control_CS-,control,1,extinction,3,0.044953679833333336,18
CS+,control_CS+,control,1,extinction,3,0.0,19
CS-,control_CS-,control,1,extinction,3,0.0,19
CS+,control_CS+,control,1,extinction,3,0.0,20
CS-,control_CS-,control,1,extinction,3,0.0,20
CS+,control_CS+,control,1,extinction,3,0.0,21
CS-,control_CS-,control,1,extinction,3,0.0,21
CS+,control_CS+,control,1,extinction,3,0.10354879475,23
