,subject,encode_phase,condition,hit_rate,false_alarm_rate,corrected_recognition
133,101,acquisition,CS+,0.6666666666666666,0.08333333333333333,0.5833333333333333
136,101,acquisition,CS-,0.16666666666666666,0.04166666666666666,0.125
132,101,baseline,CS+,0.3333333333333333,0.08333333333333333,0.25
135,101,baseline,CS-,0.04166666666666666,0.04166666666666666,0.0
134,101,extinction,CS+,0.4583333333333333,0.08333333333333333,0.375
137,101,extinction,CS-,0.20833333333333331,0.04166666666666666,0.16666666666666669
139,102,acquisition,CS+,0.625,0.3958333333333333,0.2291666666666667
142,102,acquisition,CS-,0.625,0.3958333333333333,0.2291666666666667
138,102,baseline,CS+,0.5833333333333334,0.3958333333333333,0.18750000000000008
141,102,baseline,CS-,0.5416666666666666,0.3958333333333333,0.14583333333333331
140,102,extinction,CS+,0.4166666666666667,0.3958333333333333,0.02083333333333337
143,102,extinction,CS-,0.5,0.3958333333333333,0.10416666666666667
145,103,acquisition,CS+,0.7916666666666666,0.3958333333333333,0.3958333333333333
148,103,acquisition,CS-,0.6666666666666666,0.6041666666666666,0.0625
144,103,baseline,CS+,0.7916666666666666,0.3958333333333333,0.3958333333333333
147,103,baseline,CS-,0.7916666666666666,0.6041666666666666,0.1875
146,103,extinction,CS+,0.5,0.3958333333333333,0.10416666666666667
149,103,extinction,CS-,0.7916666666666666,0.6041666666666666,0.1875
151,104,acquisition,CS+,0.25,0.10416666666666667,0.14583333333333331
154,104,acquisition,CS-,0.125,0.0,0.125
150,104,baseline,CS+,0.4583333333333333,0.10416666666666667,0.35416666666666663
153,104,baseline,CS-,0.25,0.0,0.25
152,104,extinction,CS+,0.16666666666666666,0.10416666666666667,0.062499999999999986
155,104,extinction,CS-,0.08333333333333333,0.0,0.08333333333333333
157,105,acquisition,CS+,0.625,0.4166666666666667,0.2083333333333333
160,105,acquisition,CS-,0.4583333333333333,0.3333333333333333,0.125
156,105,baseline,CS+,0.875,0.4166666666666667,0.4583333333333333
159,105,baseline,CS-,0.7083333333333334,0.3333333333333333,0.3750000000000001
158,105,extinction,CS+,0.5416666666666666,0.4166666666666667,0.12499999999999994
161,105,extinction,CS-,0.5416666666666666,0.3333333333333333,0.2083333333333333
163,106,acquisition,CS+,0.3333333333333333,0.1875,0.14583333333333331
166,106,acquisition,CS-,0.125,0.0625,0.0625
162,106,baseline,CS+,0.5,0.1875,0.3125
165,106,baseline,CS-,0.4166666666666667,0.0625,0.3541666666666667
164,106,extinction,CS+,0.375,0.1875,0.1875
167,106,extinction,CS-,0.20833333333333331,0.0625,0.14583333333333334
169,107,acquisition,CS+,0.625,0.16666666666666666,0.4583333333333334
172,107,acquisition,CS-,0.5833333333333334,0.16666666666666666,0.4166666666666667
168,107,baseline,CS+,0.5,0.16666666666666666,0.33333333333333337
171,107,baseline,CS-,0.5416666666666666,0.16666666666666666,0.375
170,107,extinction,CS+,0.5833333333333334,0.16666666666666666,0.4166666666666667
173,107,extinction,CS-,0.6666666666666666,0.16666666666666666,0.5
175,108,acquisition,CS+,0.5,0.125,0.375
178,108,acquisition,CS-,0.25,0.08333333333333333,0.16666666666666669
174,108,baseline,CS+,0.75,0.125,0.625
177,108,baseline,CS-,0.5416666666666666,0.08333333333333333,0.4583333333333333
176,108,extinction,CS+,0.375,0.125,0.25
179,108,extinction,CS-,0.5,0.08333333333333333,0.4166666666666667
181,109,acquisition,CS+,0.8333333333333334,0.08333333333333333,0.75
184,109,acquisition,CS-,0.7083333333333334,0.20833333333333331,0.5
180,109,baseline,CS+,0.875,0.08333333333333333,0.7916666666666666
183,109,baseline,CS-,0.75,0.20833333333333331,0.5416666666666666
182,109,extinction,CS+,0.75,0.08333333333333333,0.6666666666666666
185,109,extinction,CS-,0.7083333333333334,0.20833333333333331,0.5
187,110,acquisition,CS+,0.75,0.14583333333333334,0.6041666666666666
190,110,acquisition,CS-,0.7083333333333334,0.14583333333333334,0.5625
186,110,baseline,CS+,0.7083333333333334,0.14583333333333334,0.5625
189,110,baseline,CS-,0.4583333333333333,0.14583333333333334,0.3125
188,110,extinction,CS+,0.4583333333333333,0.14583333333333334,0.3125
191,110,extinction,CS-,0.3333333333333333,0.14583333333333334,0.1875
193,111,acquisition,CS+,0.9166666666666666,0.4166666666666667,0.5
196,111,acquisition,CS-,0.7083333333333334,0.22916666666666666,0.4791666666666667
192,111,baseline,CS+,0.9166666666666666,0.4166666666666667,0.5
195,111,baseline,CS-,0.5833333333333334,0.22916666666666666,0.35416666666666674
194,111,extinction,CS+,0.7916666666666666,0.4166666666666667,0.375
197,111,extinction,CS-,0.5416666666666666,0.22916666666666666,0.3125
199,112,acquisition,CS+,0.4166666666666667,0.02083333333333333,0.39583333333333337
202,112,acquisition,CS-,0.20833333333333331,0.0,0.20833333333333331
198,112,baseline,CS+,0.5416666666666666,0.02083333333333333,0.5208333333333333
201,112,baseline,CS-,0.4583333333333333,0.0,0.4583333333333333
200,112,extinction,CS+,0.25,0.02083333333333333,0.22916666666666666
